model,accuracy_mean,accuracy_std,recall_mean,recall_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std
logistic_regression,0.7959195389165588,0.003890101794110838,0.8757442187122101,0.007252086592659058,0.7879371855465773,0.004481601866495167,0.2923215807691409,0.004073303050464852,0.43830947920084723,0.004701508706143854,0.9191742753353016,0.002300942731593339,0.554541308581737,0.015504547473038557,0.8318407021293936,0.0035229939947311936,2.884533127993345,1.2037882978071373,0.02593241199851036,0.016018135907493895
decision_tree,0.9350677114364133,0.002603471510857869,0.7424913489981582,0.011961017964360275,0.9543253544747675,0.0024007441817927534,0.6193290171544452,0.013544258928336224,0.6752721542846649,0.011157235772380448,0.8574680656999459,0.0063580351474427435,0.6101045571373429,0.015271936119146642,0.8484083517364628,0.006302473815319118,0.724439623998478,0.07137481932442867,0.028645912003703415,0.005363556886945323
random_forest,0.9541698505363346,0.0013754320638584843,0.7451444391732247,0.013000973956465033,0.9750724195761549,0.001559015195625686,0.7495049135106596,0.010624178673513325,0.7472103274039721,0.00762693475445723,0.9582828569981696,0.0030962978934482703,0.8316556861769014,0.009876122717846512,0.8601084293746898,0.006186669296649848,3.668732192022726,0.38716929058613664,0.1261930280132219,0.038853715579775204
