model,repeat,fold,train_rows,validation_rows,fit_seconds,predict_seconds,accuracy,recall,specificity,precision,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
logistic_regression,1,1,57719,14430,0.8974121999926865,0.0329044999089092,0.7878031878031878,0.8902439024390244,0.77755755450526,0.2858541360744004,0.4327528714338644,0.9191823908872189,0.5638320136551205,0.8339007284721422,10200,2918,144,1168
logistic_regression,1,2,57719,14430,0.6052391000557691,0.01716879999730736,0.7995841995841996,0.8658536585365854,0.7929562433297759,0.2949117341640706,0.4399690162664601,0.9163103597179819,0.5526748525265979,0.8294049509331807,10402,2716,176,1136
logistic_regression,1,3,57719,14430,0.3838183000916615,0.02807459991890937,0.7962577962577962,0.8894817073170732,0.7869339838389998,0.2945482079757698,0.44254835039817975,0.9241159745127715,0.5729119835561666,0.8382078455780365,10323,2795,145,1167
logistic_regression,1,4,57719,14430,0.43760130007285625,0.03338510007597506,0.8015246015246015,0.8696646341463414,0.7947095593840524,0.29760041731872716,0.4434512242518461,0.9167767524793711,0.524008138613652,0.832187096765197,10425,2693,171,1141
logistic_regression,1,5,57720,14429,0.6236381999915466,0.05331890005618334,0.7962436759304179,0.8840579710144928,0.7874676017685622,0.29364073980238153,0.44085203499429443,0.9189421747026841,0.5313208230352758,0.8357627863915276,10330,2788,152,1159
logistic_regression,2,1,57719,14430,0.49102930002845824,0.019088399945758283,0.7952875952875953,0.8727134146341463,0.7875438329013569,0.2912004069175992,0.43668954996186116,0.9177199965417094,0.5450438247352983,0.8301286237677516,10331,2787,167,1145
logistic_regression,2,2,57719,14430,0.3924774000188336,0.023623000015504658,0.7905751905751905,0.8734756097560976,0.7822838847385272,0.2863568215892054,0.4313135114791118,0.9132085311934078,0.5357750903549667,0.8278797472473124,10262,2856,166,1146
logistic_regression,2,3,57719,14430,0.5359237000811845,0.045768999960273504,0.797990297990298,0.8734756097560976,0.790440615947553,0.2942233632862644,0.44017668523141923,0.9201158736459678,0.5566985871151542,0.8319581128518253,10369,2749,166,1146
logistic_regression,2,4,57719,14430,0.6550660999491811,0.06787110003642738,0.7986832986832987,0.8803353658536586,0.7905168470803476,0.29592621060722524,0.4429530201342282,0.9203122036747126,0.5529502397071946,0.8354261064670031,10370,2748,157,1155
logistic_regression,2,5,57720,14429,0.37169930001255125,0.03434070001821965,0.7947189687435027,0.8962623951182304,0.7845708187223662,0.2936765808547863,0.442394578313253,0.9229248879704713,0.5516792694861661,0.8404166069202983,10292,2826,136,1175
logistic_regression,3,1,57719,14430,0.3508441000012681,0.05478580005001277,0.8004158004158004,0.8788109756097561,0.7925750876658028,0.29762519359834794,0.4446586964905515,0.9211903142767897,0.5601478808825939,0.8356930316377794,10397,2721,159,1153
logistic_regression,3,2,57719,14430,0.596557299955748,0.061789600062184036,0.7923076923076923,0.8871951219512195,0.7828175026680897,0.2900573137303763,0.4371830985915493,0.9198132732346914,0.5374938998527445,0.8350063123096546,10269,2849,148,1164
logistic_regression,3,3,57719,14430,0.613929699989967,0.05270969995763153,0.796950796950797,0.8780487804878049,0.7888397621588656,0.29372768995410503,0.44019870080244555,0.9166319598094593,0.5247196824497968,0.8334442713233352,10348,2770,160,1152
logistic_regression,3,4,57719,14430,0.454605899984017,0.018562200013548136,0.793000693000693,0.8696646341463414,0.7853331300503126,0.28834975991913064,0.433099259821598,0.915548397008021,0.5379577392081689,0.827498882098327,10302,2816,171,1141
logistic_regression,3,5,57720,14429,0.36706770001910627,0.01966520003043115,0.7957585418254903,0.8840579710144928,0.7869339838389998,0.29312089023773397,0.4402659069325736,0.9218788468084509,0.5863840530237393,0.8354959774267463,10323,2795,152,1159
logistic_regression,4,1,57719,14430,0.5508180999895558,0.06206470006145537,0.7911988911988912,0.8894817073170732,0.7813691111449916,0.2892193308550186,0.436506452216196,0.9209972961189056,0.5642318752330004,0.8354254092310325,10250,2868,145,1167
logistic_regression,4,2,57719,14430,0.4871822000714019,0.0296616000123322,0.7953568953568954,0.8734756097560976,0.7875438329013569,0.2913806254767353,0.43698760724499525,0.9180108601474792,0.5515628044958311,0.8305097213287272,10331,2787,166,1146
logistic_regression,4,3,57719,14430,0.6119891999987885,0.025069099967367947,0.7993762993762994,0.8704268292682927,0.7922701631346242,0.29531936901991207,0.441011778335586,0.9175844712999079,0.5505384688752947,0.8313484962014585,10393,2725,170,1142
logistic_regression,4,4,57719,14430,0.30440100003033876,0.046072499942965806,0.8012474012474012,0.8719512195121951,0.79417594145449,0.2976066597294485,0.4437548487199379,0.9189785074687917,0.5391913620181343,0.8330635804833426,10418,2700,168,1144
logistic_regression,4,5,57720,14429,0.5375215000240132,0.021722299978137016,0.7911151153926121,0.8901601830663616,0.7812166488794023,0.2890760465692346,0.43642483171278984,0.9201355320927254,0.5413728034546539,0.8356884159728819,10248,2870,144,1167
logistic_regression,5,1,57719,14430,0.4258591999532655,0.04464330000337213,0.7992376992376993,0.8795731707317073,0.7912029272754993,0.2964294888260981,0.44341978866474546,0.9209354745295052,0.572589421744767,0.8353880490036033,10379,2739,158,1154
logistic_regression,5,2,57719,14430,0.48531389993149787,0.0536320999963209,0.7943173943173943,0.8803353658536586,0.7857142857142857,0.29122541603630864,0.4376657824933687,0.9190235953948959,0.5492157278217431,0.8330248257839721,10307,2811,157,1155
logistic_regression,5,3,57719,14430,0.5503623000113294,0.04938619991298765,0.7981288981288981,0.8757621951219512,0.7903643848147583,0.29469094639651194,0.4409902130109384,0.9178746667212059,0.5266137711947129,0.8330632899683548,10368,2750,163,1149
logistic_regression,5,4,57719,14430,0.5662900999886915,0.02435890003107488,0.7929313929313929,0.8833841463414634,0.7838847385272145,0.2901852779168753,0.43686392762909915,0.9192022911638822,0.5532394896474484,0.8336344424343389,10283,2835,153,1159
logistic_regression,5,5,57720,14429,0.5086352000944316,0.03313019999768585,0.793956615150045,0.8756674294431731,0.7857905168470803,0.2900454775138959,0.4357563104953502,0.9180581610399251,0.5453871208880613,0.8307289731451267,10308,2810,163,1148
decision_tree,1,1,57719,14430,0.8126622999552637,0.022198399994522333,0.9345807345807345,0.7362804878048781,0.9544137825888093,0.6176470588235294,0.6717663421418637,0.8547990693759088,0.6121579166474959,0.8453471351968437,12520,598,346,966
decision_tree,1,2,57719,14430,0.7965410999022424,0.024226200068369508,0.9374913374913375,0.7560975609756098,0.9556334807135234,0.6302414231257941,0.6874566874566874,0.8650541612902026,0.6299855167713423,0.8558655208445666,12536,582,320,992
decision_tree,1,3,57719,14430,0.7248198000015691,0.02347439993172884,0.9351351351351351,0.756859756097561,0.9529653910657112,0.6167701863354037,0.6796714579055442,0.8652404104488712,0.6311154209745816,0.8549125735816361,12501,617,319,993
decision_tree,1,4,57719,14430,0.729539499967359,0.02503160003107041,0.9322938322938323,0.7400914634146342,0.9515169995426132,0.6042314872433105,0.6652963343610826,0.8548387827747388,0.5921590092860104,0.8458042314786236,12482,636,341,971
decision_tree,1,5,57720,14429,0.774712200043723,0.044537800014950335,0.930140688890429,0.7246376811594203,0.9506784570818723,0.5948653725735754,0.6533700137551581,0.8472741526220545,0.5871175288129223,0.8376580691206463,12471,647,361,950
decision_tree,2,1,57719,14430,0.7084133999887854,0.040842900052666664,0.9363132363132363,0.7423780487804879,0.955709711846318,0.6263665594855305,0.6794558772235787,0.8575107072203898,0.6088203071267577,0.8490438803134029,12537,581,338,974
decision_tree,2,2,57719,14430,0.7049791999161243,0.023322400054894388,0.9303534303534303,0.7164634146341463,0.9517456929409971,0.5975842339478703,0.6516464471403813,0.8434392942205644,0.5846578499645865,0.8341045537875718,12485,633,372,940
decision_tree,2,3,57719,14430,0.7317554999608546,0.01979270006995648,0.9395703395703395,0.7576219512195121,0.9577679524317732,0.6421188630490956,0.6951048951048951,0.8667159070203295,0.6405891228294557,0.8576949518256427,12564,554,318,994
decision_tree,2,4,57719,14430,0.6609305000165477,0.042846100055612624,0.9353430353430353,0.7469512195121951,0.9541850891904253,0.6198608475648324,0.6774974075354303,0.8589941348510146,0.6002372653985124,0.8505681543513102,12517,601,332,980
decision_tree,2,5,57720,14429,0.7099724999861792,0.04206219990737736,0.93651673712662,0.7581998474446987,0.9543375514560146,0.6239799121155053,0.6845730027548209,0.8656101240991672,0.6252546578157817,0.8562686994503567,12519,599,317,994
decision_tree,3,1,57719,14430,0.7016174999298528,0.019330300041474402,0.9340956340956341,0.7332317073170732,0.9541850891904253,0.6154830454254638,0.6692173913043479,0.8525500475979757,0.59771102249009,0.8437083982537492,12517,601,350,962
decision_tree,3,2,57719,14430,0.6905024000443518,0.020278300042264163,0.9354816354816354,0.7378048780487805,0.9552523250495503,0.622508038585209,0.6752703174049529,0.8550401387127722,0.603724500274083,0.8465286015491653,12531,587,344,968
decision_tree,3,3,57719,14430,0.7733592999866232,0.05183679994661361,0.9302841302841303,0.7217987804878049,0.95113584387864,0.5963476070528967,0.6531034482758621,0.8459343240901535,0.5832369217946266,0.8364673121832225,12477,641,365,947
decision_tree,3,4,57719,14430,0.8466289000352845,0.040315299993380904,0.934996534996535,0.7560975609756098,0.9528891599329166,0.6161490683229813,0.6789869952087612,0.8638134589318717,0.6147401908300508,0.8544933604542632,12500,618,320,992
decision_tree,3,5,57720,14429,0.6599288999568671,0.03937220002990216,0.9383186638020653,0.7650648360030511,0.9556334807135234,0.632807570977918,0.6926795580110497,0.8693544624402638,0.6327398922197895,0.8603491583582872,12536,582,308,1003
decision_tree,4,1,57719,14430,0.662686700001359,0.021331400028429925,0.92993762993763,0.7408536585365854,0.9488489098948011,0.591600730371272,0.6578680203045685,0.8547701050316266,0.5909620478032604,0.8448512842156932,12447,671,340,972
decision_tree,4,2,57719,14430,0.7240524999797344,0.021078999969176948,0.9340956340956341,0.7324695121951219,0.95426132032322,0.6156310057655349,0.6689871214758093,0.8522360008961806,0.5987921295334035,0.8433654162591709,12518,600,351,961
decision_tree,4,3,57719,14430,0.7127384000923485,0.020345900091342628,0.9392238392238392,0.743140243902439,0.958835188290898,0.6435643564356436,0.6897771489211177,0.8592675094545197,0.6235848960840582,0.8509877160966686,12578,540,337,975
decision_tree,4,4,57719,14430,0.7397009999258444,0.020100099965929985,0.934996534996535,0.7385670731707317,0.9546424759871932,0.6195652173913043,0.6738525730180807,0.855940735174904,0.613987093567415,0.8466047745789624,12523,595,343,969
decision_tree,4,5,57720,14429,0.7327109000179917,0.01919260004069656,0.9361009078938249,0.7398932112890922,0.955709711846318,0.6254029658284977,0.6778476589797344,0.8563205959309206,0.6071351929131091,0.8478014615677052,12537,581,341,970
decision_tree,5,1,57719,14430,0.6558798999758437,0.020831000059843063,0.9358281358281358,0.7515243902439024,0.95426132032322,0.6216897856242118,0.6804692891649413,0.8619924528854414,0.6147312506523939,0.8528928552835612,12518,600,326,986
decision_tree,5,2,57719,14430,0.7196679000044242,0.020717000006698072,0.9324324324324325,0.7454268292682927,0.95113584387864,0.6040765904879555,0.6673490276356192,0.8578260902911286,0.601948955359514,0.8482813365734664,12477,641,334,978
decision_tree,5,3,57719,14430,0.8614338000770658,0.020464599947445095,0.9317394317394317,0.7362804878048781,0.9512883061442293,0.6018691588785047,0.6623243057936236,0.8530904054752546,0.5925057221667358,0.8437843969745538,12479,639,346,966
decision_tree,5,4,57719,14430,0.6524200000567362,0.02050120010972023,0.9372141372141373,0.7423780487804879,0.9567007165726483,0.6316472114137484,0.6825508058864751,0.8583375128756243,0.6210706357416655,0.849539382676568,12550,568,338,974
