model,accuracy_mean,accuracy_std,recall_mean,recall_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std
logistic_regression,0.7957587575687236,0.0036099064751422983,0.8793423843277334,0.007987296135111795,0.787400518371703,0.004445018113491753,0.2926399241748065,0.0034088851101171007,0.4391155218250497,0.0036828176139528665,0.9190189116976373,0.002392690122691489,0.5491016369430514,0.01563178984522554,0.8333714513497182,0.0030510863149112496,0.512211292013526,0.12638501168796695,0.03811189999803901,0.015674335276723565
decision_tree,0.9346907161777216,0.002770579466199767,0.7419730795706126,0.012217387156533244,0.953962494282665,0.00237287080276752,0.6172792942595346,0.01408360751153697,0.6738517550320196,0.012097118517195377,0.8570818878238252,0.006615792428619239,0.6085189846018568,0.016123203801529595,0.8479677869266388,0.006642993701153848,0.7298452519904822,0.05663552497732586,0.028338564019650223,0.010767591176886694
random_forest,0.953382586956362,0.0016966586323539138,0.7455405480828264,0.013327803866869261,0.9741667937185546,0.001809896843887733,0.7428882472146644,0.012639229477522497,0.7440949397518513,0.008849379043948263,0.9588441776826475,0.002937398512639613,0.8313945722145627,0.009725843227195543,0.8598536709006904,0.006426467365521801,4.17132077600807,0.33196123957190865,0.1551017880020663,0.03508227608978053
